name,publisher,issn,h_index,keywords,subject_area,open_access,apc_usd,openalex_id,works_count,is_oa,is_in_doaj
International Journal of Radiation Oncology*Biology*Physics,Elsevier BV,0360-3016,345,"advanced radiotherapy techniques,head and neck cancer studies,lung cancer diagnosis and treatment,prostate cancer diagnosis and treatment,radiation therapy and dosimetry",Advanced Radiotherapy Techniques,false,4070,https://openalex.org/S110533041,85419,false,false
CHEST Journal,Elsevier BV,0012-3692,405,"chronic obstructive pulmonary disease (copd) research,respiratory support and mechanisms,interstitial lung diseases and idiopathic pulmonary fibrosis,tracheal and airway disorders,asthma and respiratory diseases",Chronic Obstructive Pulmonary Disease (COPD) Research,false,3790,https://openalex.org/S76900504,85043,false,false
IEICE Technical Report; IEICE Tech. Rep.,IEICE Technical Report; IEICE Tech. Rep.,,19,"advanced mimo systems optimization,wireless communication networks research,semiconductor lasers and optical devices,antenna design and analysis,photonic and optical devices",Advanced MIMO Systems Optimization,false,0,https://openalex.org/S4306512848,77689,false,false
Sensors,Multidisciplinary Digital Publishing Institute,1424-8220,325,"indoor and outdoor localization technologies,robotics and sensor-based localization,analytical chemistry and sensors,advanced chemical sensor technologies,advanced fiber optic sensors",Indoor and Outdoor Localization Technologies,true,2400,https://openalex.org/S101949793,77582,true,true
日本消化器外科学会雑誌,日本消化器外科学会雑誌,,4,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,gastrointestinal tumor research and treatment,diverse scientific and economic studies",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306551153,72047,false,false
Who's Who,Who's Who,,22,"scottish history and national identity,political and economic history of uk and us,medical history and innovations,commonwealth, australian politics and federalism,irish and british studies",Scottish History and National Identity,false,0,https://openalex.org/S4363604063,70193,false,false
IFAC Proceedings Volumes,Elsevier BV,1474-6670,139,"advanced control systems optimization,fault detection and control systems,control systems and identification,adaptive control of nonlinear systems,stability and control of uncertain systems",Advanced Control Systems Optimization,false,0,https://openalex.org/S2898246533,67278,false,false
Annals of Oncology,Elsevier BV,0923-7534,384,"lung cancer treatments and mutations,colorectal cancer treatments and studies,cancer immunotherapy and biomarkers,cancer genomics and diagnostics,cancer treatment and pharmacology",Lung Cancer Treatments and Mutations,false,4060,https://openalex.org/S41454044,67078,false,false
Alzheimer s & Dementia,Wiley,1552-5260,223,"dementia and cognitive impairment research,alzheimer's disease research and treatments,functional brain connectivity studies,neurological disease mechanisms and treatments,cholinesterase and neurodegenerative diseases",Dementia and Cognitive Impairment Research,false,4000,https://openalex.org/S108427512,65695,false,false
Radiology,Radiological Society of North America,0033-8419,429,"radiology practices and education,radiation dose and imaging,advanced mri techniques and applications,medical imaging techniques and applications,mri in cancer diagnosis",Radiology practices and education,false,0,https://openalex.org/S50280174,62789,false,false
Journal of the Franklin Institute,Elsevier BV,0016-0032,327,"diverse scientific and economic studies,stability and control of uncertain systems,adaptive control of nonlinear systems,neural networks stability and synchronization,human auditory perception and evaluation",Diverse Scientific and Economic Studies,false,2700,https://openalex.org/S183498172,59694,false,false
Radiotherapy and Oncology,Elsevier BV,0167-8140,224,"advanced radiotherapy techniques,medical imaging techniques and applications,radiomics and machine learning in medical imaging,lung cancer diagnosis and treatment,radiation therapy and dosimetry",Advanced Radiotherapy Techniques,false,3210,https://openalex.org/S144507673,57513,false,false
Nucleic Acids Research,Oxford University Press,0305-1048,870,"rna and protein synthesis mechanisms,rna modifications and cancer,dna and nucleic acid chemistry,rna research and splicing,dna repair mechanisms",RNA and protein synthesis mechanisms,true,3630,https://openalex.org/S134668137,55766,true,true
Nuclear Instruments and Methods in Physics Research Section A Accelerators Spectrometers Detectors and Associated Equipment,Elsevier BV,0168-9002,225,"radiation detection and scintillator technologies,particle detector development and performance,nuclear physics and applications,particle accelerators and free-electron lasers,particle accelerators and beam dynamics",Radiation Detection and Scintillator Technologies,false,2690,https://openalex.org/S145630073,55369,false,false
Japanese Journal of Radiological Technology,Japan Radiological Society,0369-4305,23,"medical imaging techniques and applications,legal and regulatory analysis,military technology and strategies,linguistic, cultural, and literary studies,radiomics and machine learning in medical imaging",Medical Imaging Techniques and Applications,false,0,https://openalex.org/S2756445955,51325,false,false
Southern Medical Journal,Lippincott Williams & Wilkins,0038-4348,130,"diverse scientific and economic studies,human auditory perception and evaluation,earthquake and disaster impact studies,cardiac, anesthesia and surgical outcomes,gastrointestinal disorders and treatments",Diverse Scientific and Economic Studies,false,0,https://openalex.org/S89143414,50368,false,false
Medical Physics,Wiley,0094-2405,267,"advanced radiotherapy techniques,medical imaging techniques and applications,radiation therapy and dosimetry,radiation dose and imaging,advanced x-ray and ct imaging",Advanced Radiotherapy Techniques,false,3040,https://openalex.org/S95522064,45234,false,false
Neurosurgery,Lippincott Williams & Wilkins,0148-396X,300,"intracranial aneurysms: treatment and complications,traumatic brain injury and neurovascular disturbances,meningioma and schwannoma management,cerebrospinal fluid and hydrocephalus,vascular malformations diagnosis and treatment",Intracranial Aneurysms: Treatment and Complications,false,0,https://openalex.org/S111727011,44506,false,false
European Journal of Cancer,Elsevier BV,0959-8049,295,"breast cancer treatment studies,cancer treatment and pharmacology,lung cancer treatments and mutations,colorectal cancer treatments and studies,cancer genomics and diagnostics",Breast Cancer Treatment Studies,false,3800,https://openalex.org/S16731738,41539,false,false
Remote Sensing,Multidisciplinary Digital Publishing Institute,2072-4292,264,"remote sensing in agriculture,remote sensing and lidar applications,remote-sensing image classification,land use and ecosystem services,synthetic aperture radar (sar) applications and techniques",Remote Sensing in Agriculture,true,2500,https://openalex.org/S43295729,41156,true,true
Case Medical Research,Case Journals,2643-4652,28,"cardiac, anesthesia and surgical outcomes,anesthesia and pain management,lung cancer treatments and mutations,diet and metabolism studies,stroke rehabilitation and recovery","Cardiac, Anesthesia and Surgical Outcomes",false,0,https://openalex.org/S4210239733,39282,false,false
RöFo - Fortschritte auf dem Gebiet der Röntgenstrahlen und der bildgebenden Verfahren,Thieme Medical Publishers (Germany),1438-9010,61,"advanced mri techniques and applications,advanced x-ray and ct imaging,medical imaging techniques and applications,radiomics and machine learning in medical imaging,radiation dose and imaging",Advanced MRI Techniques and Applications,false,0,https://openalex.org/S4210212309,38380,false,false
International Journal for Research in Applied Science and Engineering Technology,International Journal for Research in Applied Science and Engineering Technology (IJRASET),2321-9653,39,"iot-based smart home systems,iot and gps-based vehicle safety systems,smart agriculture and ai,artificial intelligence in healthcare,network security and intrusion detection",IoT-based Smart Home Systems,true,0,https://openalex.org/S2764566388,37833,true,false
日本外科学会雑誌,日本外科学会雑誌,,8,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,diverse scientific and economic studies,cancer treatment and pharmacology",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306550603,37030,false,false
Journal of Vision,Association for Research in Vision and Ophthalmology,1534-7362,177,"visual perception and processing mechanisms,neural and behavioral psychology studies,neural dynamics and brain function,face recognition and perception,visual attention and saliency detection",Visual perception and processing mechanisms,true,1850,https://openalex.org/S137468011,36524,true,true
American Journal of Roentgenology,American Roentgen Ray Society,0361-803X,288,"radiation dose and imaging,radiology practices and education,mri in cancer diagnosis,radiomics and machine learning in medical imaging,advanced mri techniques and applications",Radiation Dose and Imaging,false,0,https://openalex.org/S161085503,35836,false,false
Cancers,Multidisciplinary Digital Publishing Institute,2072-6694,215,"cancer immunotherapy and biomarkers,cancer genomics and diagnostics,cancer cells and metastasis,pancreatic and hepatic oncology research,radiomics and machine learning in medical imaging",Cancer Immunotherapy and Biomarkers,true,2400,https://openalex.org/S168415115,35742,true,false
대한전자공학회 학술대회,대한전자공학회 학술대회,,6,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,engineering applied research,internet of things and social network interactions",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306495813,35688,false,false
Frontiers in Oncology,Frontiers Media,2234-943X,203,"cancer immunotherapy and biomarkers,radiomics and machine learning in medical imaging,cancer-related molecular mechanisms research,rna modifications and cancer,lung cancer treatments and mutations",Cancer Immunotherapy and Biomarkers,true,2950,https://openalex.org/S2596394214,35627,true,true
Physics of Fluids,American Institute of Physics,1070-6631,242,"fluid dynamics and turbulent flows,fluid dynamics and vibration analysis,fluid dynamics and heat transfer,wind and air flow studies,lattice boltzmann simulation studies",Fluid Dynamics and Turbulent Flows,false,0,https://openalex.org/S22862804,34077,false,false
BMJ Case Reports,BMJ,1757-790X,56,"infectious diseases and tuberculosis,gastrointestinal disorders and treatments,tracheal and airway disorders,infective endocarditis diagnosis and management,sarcoma diagnosis and treatment",Infectious Diseases and Tuberculosis,false,0,https://openalex.org/S141953298,33081,false,false
The Japanese Journal of Urology,Japanese Dermatological Association,0021-5287,23,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,urological disorders and treatments,bladder and urothelial cancer treatments",Legal and Regulatory Analysis,true,0,https://openalex.org/S2752698192,33070,true,false
Microscopy and Microanalysis,Oxford University Press,1431-9276,93,"electron and x-ray spectroscopy techniques,advanced electron microscopy techniques and applications,advanced materials characterization techniques,ion-surface interactions and analysis,integrated circuits and semiconductor failure analysis",Electron and X-Ray Spectroscopy Techniques,false,3255,https://openalex.org/S98208149,33032,false,false
IEEE Transactions on Nuclear Science,Institute of Electrical and Electronics Engineers,0018-9499,181,"radiation detection and scintillator technologies,nuclear physics and applications,radiation effects in electronics,particle detector development and performance,particle accelerators and beam dynamics",Radiation Detection and Scintillator Technologies,false,0,https://openalex.org/S14279044,32899,false,false
European Urology Supplements,Elsevier BV,1569-9056,49,"prostate cancer diagnosis and treatment,bladder and urothelial cancer treatments,prostate cancer treatment and research,renal cell carcinoma treatment,urological disorders and treatments",Prostate Cancer Diagnosis and Treatment,false,0,https://openalex.org/S59248909,30344,false,false
Expert Systems with Applications,Elsevier BV,0957-4174,341,"multi-criteria decision making,metaheuristic optimization algorithms research,topic modeling,stock market forecasting methods,neural networks and applications",Multi-Criteria Decision Making,false,3220,https://openalex.org/S13144211,30259,false,false
Neuro-Oncology,Oxford University Press,1522-8517,214,"glioma diagnosis and treatment,brain metastases and treatment,radiomics and machine learning in medical imaging,cancer, hypoxia, and metabolism,meningioma and schwannoma management",Glioma Diagnosis and Treatment,false,4612,https://openalex.org/S106908163,29869,false,false
IFAC-PapersOnLine,Elsevier BV,2405-8963,89,"advanced control systems optimization,fault detection and control systems,control systems and identification,adaptive control of nonlinear systems,stability and control of uncertain systems",Advanced Control Systems Optimization,true,0,https://openalex.org/S2898405271,29377,true,false
British Journal of Radiology,Wiley,0007-1285,178,"radiation dose and imaging,advanced radiotherapy techniques,radiology practices and education,medical imaging techniques and applications,advanced x-ray and ct imaging",Radiation Dose and Imaging,false,0,https://openalex.org/S142542876,29257,false,false
International Journal of Science and Research (IJSR),International Journal of Science and Research (IJSR),2319-7064,39,"diverse scientific research studies,big data and business intelligence,health and well-being studies,agricultural economics and practices,cloud computing and resource management",Diverse Scientific Research Studies,true,0,https://openalex.org/S4210240710,28764,true,false
Electronics,Multidisciplinary Digital Publishing Institute,2079-9292,147,"advanced neural network applications,microgrid control and optimization,network security and intrusion detection,iot and edge/fog computing,antenna design and analysis",Advanced Neural Network Applications,true,2000,https://openalex.org/S4210202905,28400,true,false
NeuroImage,Elsevier BV,1053-8119,526,"functional brain connectivity studies,neural dynamics and brain function,advanced mri techniques and applications,advanced neuroimaging techniques and applications,neural and behavioral psychology studies",Functional Brain Connectivity Studies,true,3450,https://openalex.org/S103225281,28324,true,true
American Journal of Respiratory and Critical Care Medicine,American Thoracic Society,1073-449X,504,"chronic obstructive pulmonary disease (copd) research,respiratory support and mechanisms,asthma and respiratory diseases,neonatal respiratory health research,interstitial lung diseases and idiopathic pulmonary fibrosis",Chronic Obstructive Pulmonary Disease (COPD) Research,false,0,https://openalex.org/S93356601,28247,false,false
肺癌,肺癌,,3,"legal and regulatory analysis,military technology and strategies,linguistic, cultural, and literary studies,cancer treatment and pharmacology,lung cancer research studies",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306557219,28230,false,false
Journal of Thoracic Oncology,Elsevier BV,1556-0864,220,"lung cancer treatments and mutations,lung cancer diagnosis and treatment,lung cancer research studies,cancer immunotherapy and biomarkers,radiomics and machine learning in medical imaging",Lung Cancer Treatments and Mutations,false,4000,https://openalex.org/S90745127,28194,false,false
Journal of the American Statistical Association,Journal of the American Statistical Association,0162-1459,648,"advanced statistical methods and models,statistical methods and inference,statistical methods and bayesian inference,bayesian methods and mixture models,statistical distribution estimation and applications",Advanced Statistical Methods and Models,false,0,https://openalex.org/S4394736638,27986,false,false
Lung Cancer,Elsevier BV,0169-5002,184,"lung cancer treatments and mutations,lung cancer diagnosis and treatment,lung cancer research studies,neuroendocrine tumor research advances,radiomics and machine learning in medical imaging",Lung Cancer Treatments and Mutations,false,3110,https://openalex.org/S100767427,27343,false,false
European Respiratory Journal,European Respiratory Society,0903-1936,353,"chronic obstructive pulmonary disease (copd) research,asthma and respiratory diseases,respiratory support and mechanisms,interstitial lung diseases and idiopathic pulmonary fibrosis,respiratory and cough-related research",Chronic Obstructive Pulmonary Disease (COPD) Research,false,0,https://openalex.org/S4210207896,26906,false,false
IEEE Transactions on Automatic Control,Institute of Electrical and Electronics Engineers,0018-9286,474,"stability and control of uncertain systems,advanced control systems optimization,control systems and identification,adaptive control of nonlinear systems,fault detection and control systems",Stability and Control of Uncertain Systems,false,0,https://openalex.org/S184954342,26890,false,false
Neurocomputing,Elsevier BV,0925-2312,253,"neural networks and applications,neural networks stability and synchronization,face and expression recognition,neural dynamics and brain function,advanced image and video retrieval techniques",Neural Networks and Applications,false,2470,https://openalex.org/S45693802,26886,false,false
BioMed Research International,Hindawi Publishing Corporation,2314-6133,246,"cancer-related molecular mechanisms research,microrna in disease regulation,circular rnas in diseases,rna modifications and cancer,liver disease diagnosis and treatment",Cancer-related molecular mechanisms research,false,2400,https://openalex.org/S1010394304,26653,false,false
Mathematics,Multidisciplinary Digital Publishing Institute,2227-7390,107,"fractional differential equations solutions,nonlinear differential equations analysis,multi-criteria decision making,differential equations and numerical methods,mathematical and theoretical epidemiology and ecology models",Fractional Differential Equations Solutions,true,1800,https://openalex.org/S4210192031,26597,true,true
European Urology,Elsevier BV,0302-2838,322,"prostate cancer diagnosis and treatment,prostate cancer treatment and research,bladder and urothelial cancer treatments,urinary bladder and prostate research,urological disorders and treatments",Prostate Cancer Diagnosis and Treatment,false,5250,https://openalex.org/S96871409,26554,false,false
Journal of Radioanalytical and Nuclear Chemistry,Springer Science+Business Media,0236-5731,94,"radioactive element chemistry and processing,nuclear physics and applications,radioactivity and radon measurements,radioactive contamination and transfer,chemical synthesis and characterization",Radioactive element chemistry and processing,false,2790,https://openalex.org/S63023845,26206,false,false
IEEE Transactions on Geoscience and Remote Sensing,Institute of Electrical and Electronics Engineers,0196-2892,378,"remote-sensing image classification,synthetic aperture radar (sar) applications and techniques,soil moisture and remote sensing,advanced sar imaging techniques,remote sensing and land use",Remote-Sensing Image Classification,false,0,https://openalex.org/S111326731,26150,false,false
World Neurosurgery,Elsevier BV,1878-8750,122,"intracranial aneurysms: treatment and complications,spine and intervertebral disc pathology,spinal fractures and fixation techniques,meningioma and schwannoma management,traumatic brain injury and neurovascular disturbances",Intracranial Aneurysms: Treatment and Complications,false,3810,https://openalex.org/S59624048,25238,false,false
Archives of Pediatrics and Adolescent Medicine,American Medical Association,1072-4710,252,"child and adolescent health,adolescent and pediatric healthcare,ethics and legal issues in pediatric healthcare,childhood cancer survivors' quality of life,neonatal respiratory health research",Child and Adolescent Health,false,0,https://openalex.org/S4210192535,25085,false,false
Journal of Vascular and Interventional Radiology,Elsevier BV,1051-0443,176,"hepatocellular carcinoma treatment and prognosis,venous thromboembolism diagnosis and management,central venous catheters and hemodialysis,diverse scientific and economic studies,vascular procedures and complications",Hepatocellular Carcinoma Treatment and Prognosis,false,3200,https://openalex.org/S3376858,25077,false,false
Applied Mathematics and Computation,Elsevier BV,0096-3003,195,"fractional differential equations solutions,differential equations and numerical methods,matrix theory and algorithms,numerical methods for differential equations,advanced optimization algorithms research",Fractional Differential Equations Solutions,false,3550,https://openalex.org/S50372074,25007,false,false
Journal of Lightwave Technology,Institute of Electrical and Electronics Engineers,0733-8724,260,"photonic and optical devices,optical network technologies,advanced photonic communication systems,semiconductor lasers and optical devices,advanced fiber optic sensors",Photonic and Optical Devices,false,0,https://openalex.org/S2307745,24653,false,false
Journal of Emerging Technologies and Innovative Research,Journal of Emerging Technologies and Innovative Research (JETIR),2349-5162,26,"iot-based smart home systems,south asian studies and conflicts,agricultural economics and practices,iot and gps-based vehicle safety systems,indian economic and social development",IoT-based Smart Home Systems,false,0,https://openalex.org/S2764944466,24502,false,false
Spine,Lippincott Williams & Wilkins,0362-2436,390,"spine and intervertebral disc pathology,spinal fractures and fixation techniques,musculoskeletal pain and rehabilitation,scoliosis diagnosis and treatment,cervical and thoracic myelopathy",Spine and Intervertebral Disc Pathology,false,0,https://openalex.org/S4026894,23754,false,false
Annals of Surgical Oncology,Springer Science+Business Media,1068-9265,237,"breast cancer treatment studies,gastric cancer management and outcomes,pancreatic and hepatic oncology research,hepatocellular carcinoma treatment and prognosis,breast lesions and carcinomas",Breast Cancer Treatment Studies,false,3190,https://openalex.org/S177486402,23058,false,false
Information Sciences,Elsevier BV,0020-0255,275,"multi-criteria decision making,rough sets and fuzzy logic,metaheuristic optimization algorithms research,fuzzy logic and control systems,fuzzy systems and optimization",Multi-Criteria Decision Making,false,3330,https://openalex.org/S192650101,22607,false,false
Postgraduate Medical Journal,Oxford University Press,0032-5473,205,"innovations in medical education,gastrointestinal disorders and treatments,cardiac, anesthesia and surgical outcomes,primary care and health outcomes,medical history and innovations",Innovations in Medical Education,false,3000,https://openalex.org/S43893605,22533,false,false
Archiv für Pathologische Anatomie und Physiologie und für Klinische Medicin,Springer Science+Business Media,0945-6317,162,"biomedical and chemical research,sarcoma diagnosis and treatment,medical history and research,medical and health sciences research,cancer and skin lesions",Biomedical and Chemical Research,false,3490,https://openalex.org/S47032817,22479,false,false
年会講演予稿集,年会講演予稿集,,1,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,diverse scientific and economic studies,physics of superconductivity and magnetism",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306548328,22139,false,false
Frontiers in Medicine,Frontiers Media,2296-858X,142,"covid-19 clinical research studies,sepsis diagnosis and treatment,liver disease diagnosis and treatment,respiratory support and mechanisms,long-term effects of covid-19",COVID-19 Clinical Research Studies,true,2490,https://openalex.org/S2597052008,21564,true,true
Multimedia Tools and Applications,Springer Science+Business Media,1380-7501,151,"advanced steganography and watermarking techniques,advanced image and video retrieval techniques,chaos-based image/signal encryption,digital media forensic detection,video surveillance and tracking methods",Advanced Steganography and Watermarking Techniques,false,0,https://openalex.org/S110206669,21481,false,false
Seibutsu Butsuri,Physical Society of Japan,0582-4052,17,"photoreceptor and optogenetics research,protein structure and dynamics,enzyme structure and function,photosynthetic processes and mechanisms,microtubule and mitosis dynamics",Photoreceptor and optogenetics research,true,0,https://openalex.org/S71018124,21432,true,false
Mathematical Problems in Engineering,Hindawi Publishing Corporation,1024-123X,117,"adaptive control of nonlinear systems,stability and control of uncertain systems,fractional differential equations solutions,multi-criteria decision making,fault detection and control systems",Adaptive Control of Nonlinear Systems,false,2400,https://openalex.org/S178238111,21403,false,false
Optical Engineering,SPIE,0091-3286,157,"photonic and optical devices,optical measurement and interference techniques,semiconductor lasers and optical devices,advanced fiber optic sensors,optical network technologies",Photonic and Optical Devices,false,0,https://openalex.org/S175543413,21092,false,false
Journal of Computational Physics,Elsevier BV,0021-9991,411,"computational fluid dynamics and aerodynamics,advanced numerical methods in computational mathematics,fluid dynamics and turbulent flows,lattice boltzmann simulation studies,gas dynamics and kinetic theory",Computational Fluid Dynamics and Aerodynamics,false,3750,https://openalex.org/S148709879,21070,false,false
"Proceedings on CD-ROM - International Society for Magnetic Resonance in Medicine. Scientific Meeting and Exhibition/Proceedings of the International Society for Magnetic Resonance in Medicine, Scientific Meeting and Exhibition","Proceedings on CD-ROM - International Society for Magnetic Resonance in Medicine. Scientific Meeting and Exhibition/Proceedings of the International Society for Magnetic Resonance in Medicine, Scientific Meeting and Exhibition",1524-6965,7,"advanced mri techniques and applications,advanced neuroimaging techniques and applications,mri in cancer diagnosis,medical imaging techniques and applications,radiomics and machine learning in medical imaging",Advanced MRI Techniques and Applications,false,0,https://openalex.org/S4393917449,21026,false,false
HPB,Elsevier BV,1365-182X,115,"pancreatic and hepatic oncology research,hepatocellular carcinoma treatment and prognosis,cholangiocarcinoma and gallbladder cancer studies,gallbladder and bile duct disorders,pancreatitis pathology and treatment",Pancreatic and Hepatic Oncology Research,false,3630,https://openalex.org/S185605772,20654,false,false
European Journal of Surgical Oncology,Elsevier BV,0748-7983,144,"breast cancer treatment studies,breast implant and reconstruction,colorectal cancer surgical treatments,gastric cancer management and outcomes,breast lesions and carcinomas",Breast Cancer Treatment Studies,false,0,https://openalex.org/S158473028,20550,false,false
IEEE Transactions on Information Theory,Institute of Electrical and Electronics Engineers,0018-9448,443,"coding theory and cryptography,cooperative communication and network coding,wireless communication security techniques,advanced wireless communication techniques,error correcting code techniques",Coding theory and cryptography,false,0,https://openalex.org/S4502562,20174,false,false
Clinical Nuclear Medicine,Lippincott Williams & Wilkins,0363-9762,90,"medical imaging and pathology studies,medical imaging techniques and applications,radiopharmaceutical chemistry and applications,neuroendocrine tumor research advances,sarcoma diagnosis and treatment",Medical Imaging and Pathology Studies,false,0,https://openalex.org/S1118231,20168,false,false
BMC Cancer,BioMed Central,1471-2407,202,"cancer-related molecular mechanisms research,lung cancer treatments and mutations,cancer genomics and diagnostics,gastric cancer management and outcomes,cancer immunotherapy and biomarkers",Cancer-related molecular mechanisms research,true,1790,https://openalex.org/S192926780,20160,true,true
Proceedings of the IEEE,Institute of Electrical and Electronics Engineers,0018-9219,465,"semiconductor lasers and optical devices,photonic and optical devices,advancements in semiconductor devices and circuit design,diverse scientific and economic studies,semiconductor quantum structures and devices",Semiconductor Lasers and Optical Devices,false,0,https://openalex.org/S68686220,20084,false,false
Thorax,BMJ,0040-6376,319,"chronic obstructive pulmonary disease (copd) research,asthma and respiratory diseases,respiratory support and mechanisms,interstitial lung diseases and idiopathic pulmonary fibrosis,respiratory and cough-related research",Chronic Obstructive Pulmonary Disease (COPD) Research,false,0,https://openalex.org/S106546978,19956,false,false
The Journal of Physical Chemistry Letters,American Chemical Society,1948-7185,292,"perovskite materials and applications,spectroscopy and quantum chemical studies,quantum dots synthesis and properties,advanced chemical physics studies,chalcogenide semiconductor thin films",Perovskite Materials and Applications,false,0,https://openalex.org/S123480357,19289,false,false
Bioinformatics,Oxford University Press,1367-4803,564,"genomics and phylogenetic studies,bioinformatics and genomic networks,gene expression and cancer classification,rna and protein synthesis mechanisms,machine learning in bioinformatics",Genomics and Phylogenetic Studies,true,3618,https://openalex.org/S52395412,19261,true,true
Bone,Elsevier BV,1873-2763,268,"bone health and osteoporosis research,bone health and treatments,bone metabolism and diseases,bone and joint diseases,vitamin d research studies",Bone health and osteoporosis research,false,3300,https://openalex.org/S121725775,19178,false,false
IEICE technical report. Speech,IEICE technical report. Speech,,9,"military technology and strategies,legal and regulatory analysis,linguistic, cultural, and literary studies,advanced mimo systems optimization,wireless communication networks research",Military Technology and Strategies,false,0,https://openalex.org/S2764744134,18907,false,false
Discrete Mathematics,Elsevier BV,0012-365X,146,"advanced graph theory research,graph theory and cdma systems,limits and structures in graph theory,graph labeling and dimension problems,graph theory and applications",Advanced Graph Theory Research,false,3000,https://openalex.org/S18902827,18879,false,false
Physics in Medicine and Biology,IOP Publishing,0031-9155,262,"advanced radiotherapy techniques,medical imaging techniques and applications,radiation therapy and dosimetry,advanced x-ray and ct imaging,radiation detection and scintillator technologies",Advanced Radiotherapy Techniques,false,0,https://openalex.org/S20241394,18871,false,false
Acta Radiologica,SAGE Publishing,0284-1851,100,"advanced mri techniques and applications,mri in cancer diagnosis,radiation dose and imaging,medical imaging techniques and applications,radiomics and machine learning in medical imaging",Advanced MRI Techniques and Applications,false,0,https://openalex.org/S160113820,18669,false,false
Ultrasound in Medicine & Biology,Elsevier BV,0301-5629,189,"ultrasound and hyperthermia applications,ultrasound imaging and elastography,photoacoustic and ultrasonic imaging,liver disease diagnosis and treatment,ultrasound in clinical applications",Ultrasound and Hyperthermia Applications,false,1750,https://openalex.org/S109113098,18658,false,false
気管支学 : 日本気管支研究会雑誌,気管支学 : 日本気管支研究会雑誌,,9,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,tracheal and airway disorders,lung cancer diagnosis and treatment",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306553164,18630,false,false
日本放射線技術學會雜誌,日本放射線技術學會雜誌,,2,"legal and regulatory analysis,linguistic, cultural, and literary studies,military technology and strategies,medical imaging techniques and applications,advanced mri techniques and applications",Legal and Regulatory Analysis,false,0,https://openalex.org/S4306550909,18195,false,false
